"","income","sex","age","eduyears","eastwest","socialclass_self","leftright"
"25",NA,"MANN",36,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"26",NA,"FRAU",34,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"27",2400,"FRAU",52,18,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"28",1050,"MANN",63,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","3"
"29",NA,"MANN",61,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"30",875,"MANN",19,13,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","7"
"31",850,"FRAU",40,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"32",1500,"MANN",27,20,"NEUE BUNDESLAENDER","MITTELSCHICHT","4"
"33",1900,"FRAU",28,15,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"34",2000,"FRAU",30,15,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"35",1000,"MANN",53,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","8"
"36",1300,"MANN",25,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"37",1390,"FRAU",40,18,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"38",460,"MANN",71,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","1"
"39",NA,"MANN",31,17,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"40",1400,"MANN",68,8,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"41",NA,"FRAU",51,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"42",NA,"FRAU",42,17,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"43",NA,"MANN",48,18,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"44",850,"FRAU",66,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"45",NA,"FRAU",47,11,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"46",1800,"MANN",43,11,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","7"
"47",700,"MANN",24,18,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"48",NA,"FRAU",55,22,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"49",1000,"FRAU",79,NA,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"50",NA,"FRAU",54,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"51",1500,"FRAU",61,17,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"52",NA,"MANN",46,8,"NEUE BUNDESLAENDER","UNTERSCHICHT","6"
"53",NA,"MANN",48,13,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"54",1579,"MANN",27,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"55",1100,"FRAU",41,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"56",1500,"MANN",39,12,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"57",NA,"MANN",78,8,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"58",860,"FRAU",29,13,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"59",1300,"FRAU",31,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","2"
"60",2000,"FRAU",66,17,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"61",NA,"FRAU",40,11,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","3"
"62",2400,"MANN",29,18,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"63",4000,"MANN",48,17,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"64",820,"FRAU",57,NA,"NEUE BUNDESLAENDER",NA,"6"
"65",1400,"MANN",40,14,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","7"
"66",NA,"MANN",53,12,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"67",1100,"MANN",42,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"68",2700,"MANN",47,14,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"69",1140,"MANN",72,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"70",2200,"MANN",31,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"71",2000,"MANN",69,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"72",3000,"MANN",88,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"73",2500,"MANN",31,15,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"74",1650,"MANN",35,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"75",2650,"FRAU",69,17,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"76",650,"FRAU",66,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","1"
"77",1000,"MANN",76,8,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"78",860,"MANN",67,10,"NEUE BUNDESLAENDER","UNTERSCHICHT","5"
"79",1100,"MANN",58,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","1"
"80",1700,"FRAU",51,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"81",400,"FRAU",68,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"82",1500,"MANN",25,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"83",3500,"MANN",59,15,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"84",1300,"FRAU",40,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"85",1520,"FRAU",30,15,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"86",600,"FRAU",62,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","8"
"87",730,"MANN",71,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"88",4000,"MANN",60,21,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"89",2000,"MANN",26,17,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"90",NA,"MANN",56,NA,"ALTE BUNDESLAENDER","UNTERSCHICHT","6"
"91",714,"FRAU",54,14,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"92",NA,"MANN",49,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","7"
"93",700,"MANN",69,20,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","8"
"94",NA,"MANN",72,18,"NEUE BUNDESLAENDER","MITTELSCHICHT","4"
"95",3000,"MANN",28,19,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"96",700,"FRAU",75,8,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"97",1050,"MANN",83,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"98",NA,"MANN",53,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"99",NA,"FRAU",56,11,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"100",NA,"FRAU",64,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"101",1400,"FRAU",52,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","2"
"102",800,"FRAU",65,13,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","3"
"103",265,"FRAU",80,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"104",2300,"FRAU",56,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"105",1800,"FRAU",28,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"106",1900,"MANN",51,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"107",NA,"FRAU",50,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"108",600,"FRAU",66,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","4"
"109",1650,"MANN",58,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"110",NA,"MANN",73,13,"NEUE BUNDESLAENDER","UNTERSCHICHT","6"
"111",NA,"FRAU",22,15,"NEUE BUNDESLAENDER","MITTELSCHICHT",NA
"112",2250,"MANN",54,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"113",940,"FRAU",56,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"114",1600,"FRAU",82,14,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"115",1000,"FRAU",47,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","3"
"116",3000,"MANN",45,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"117",2000,"MANN",54,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"118",NA,"MANN",51,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"119",450,"FRAU",36,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"120",NA,"MANN",67,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT",NA
"121",1100,"FRAU",59,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"122",710,"FRAU",21,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"123",1800,"MANN",40,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"124",1600,"FRAU",48,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"125",900,"FRAU",62,NA,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"126",730,"FRAU",72,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"127",1000,"FRAU",88,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"128",2100,"FRAU",54,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"129",400,"FRAU",25,18,"NEUE BUNDESLAENDER","MITTELSCHICHT",NA
"130",4000,"MANN",35,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","9"
"131",1000,"MANN",69,13,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","8"
"132",NA,"FRAU",62,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"133",NA,"MANN",36,24,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"134",7500,"MANN",61,14,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"135",700,"FRAU",49,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","2"
"136",NA,"MANN",59,12,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"137",1600,"FRAU",37,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"138",750,"MANN",21,14,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"139",1040,"MANN",44,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"140",NA,"FRAU",61,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"141",NA,"FRAU",45,7,"ALTE BUNDESLAENDER","MITTELSCHICHT",NA
"142",1750,"FRAU",52,8,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","7"
"143",2000,"MANN",31,19,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"144",3000,"FRAU",67,15,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"145",3000,"MANN",48,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","1"
"146",NA,"FRAU",56,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"147",2100,"MANN",66,16,"NEUE BUNDESLAENDER","MITTELSCHICHT","2"
"148",2100,"FRAU",36,17,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT",NA
"149",NA,"FRAU",44,15,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","8"
"150",NA,"MANN",44,17,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","3"
"151",1100,"MANN",64,13,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","7"
"152",1500,"FRAU",76,12,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","4"
"153",1500,"MANN",51,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"154",1200,"FRAU",46,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","2"
"155",1400,"FRAU",66,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"156",995,"FRAU",46,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"157",NA,"FRAU",61,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"158",1800,"MANN",66,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"159",2300,"MANN",55,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"160",NA,"FRAU",53,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"161",NA,"MANN",78,7,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"162",NA,"MANN",38,22,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"163",1300,"MANN",63,13,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","4"
"164",NA,"FRAU",39,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","7"
"165",2000,"FRAU",33,23,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"166",1000,"FRAU",78,15,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"167",1650,"FRAU",41,16,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"168",2060,"FRAU",33,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"169",1500,"MANN",40,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"170",592,"MANN",19,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","8"
"171",1300,"FRAU",41,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","2"
"172",1750,"MANN",45,13,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"173",150,"MANN",20,10,"NEUE BUNDESLAENDER","UNTERSCHICHT","9"
"174",2100,"MANN",33,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","8"
"175",NA,"MANN",53,18,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"176",750,"FRAU",74,11,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"177",184,"FRAU",31,6,"ALTE BUNDESLAENDER","MITTELSCHICHT","2"
"178",4200,"MANN",38,10,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","10"
"179",1300,"FRAU",29,13,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"180",500,"FRAU",24,NA,"ALTE BUNDESLAENDER",NA,"4"
"181",4000,"MANN",48,23,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"182",2900,"FRAU",45,11,"ALTE BUNDESLAENDER","MITTELSCHICHT",NA
"183",1200,"MANN",75,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"184",1100,"MANN",30,10,"NEUE BUNDESLAENDER","UNTERSCHICHT","1"
"185",1600,"FRAU",57,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"186",300,"FRAU",56,11,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"187",1600,"MANN",26,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"188",2800,"MANN",29,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"189",1000,"MANN",47,20,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"190",330,"FRAU",50,22,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"191",2300,"FRAU",33,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"192",NA,"FRAU",48,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","3"
"193",NA,"MANN",62,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"194",900,"FRAU",72,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","8"
"195",760,"MANN",66,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"196",NA,"MANN",62,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"197",1300,"FRAU",52,13,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"198",900,"MANN",64,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"199",NA,"FRAU",73,18,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"200",450,"FRAU",38,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"201",2100,"MANN",39,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"202",NA,"MANN",52,20,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"203",1500,"FRAU",58,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","4"
"204",NA,"FRAU",58,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","1"
"205",750,"FRAU",50,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"206",NA,"FRAU",81,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"207",NA,"MANN",22,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"208",400,"MANN",18,13,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","7"
"209",2170,"FRAU",38,12,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"210",600,"FRAU",57,13,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","3"
"211",NA,"MANN",54,10,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","7"
"212",1051,"MANN",83,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"213",1900,"MANN",57,14,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"214",480,"FRAU",52,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"215",2000,"FRAU",34,19,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"216",4800,"MANN",52,18,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"217",1750,"FRAU",37,21,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"218",3500,"MANN",69,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","2"
"219",NA,"FRAU",56,16,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"220",NA,"MANN",46,15,"NEUE BUNDESLAENDER","MITTELSCHICHT","10"
"221",NA,"FRAU",24,12,"ALTE BUNDESLAENDER","ARBEITERSCHICHT",NA
"222",1600,"FRAU",36,9,"ALTE BUNDESLAENDER","UNTERSCHICHT","3"
"223",3600,"MANN",40,18,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"224",320,"MANN",60,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","4"
"225",850,"MANN",51,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"226",700,"FRAU",74,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","4"
"227",NA,"FRAU",60,17,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"228",NA,"FRAU",19,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"229",1100,"FRAU",70,19,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"230",1350,"MANN",66,NA,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","7"
"231",NA,"MANN",64,16,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"232",1000,"FRAU",64,NA,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"233",1850,"FRAU",41,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","2"
"234",1050,"FRAU",27,10,"ALTE BUNDESLAENDER","MITTELSCHICHT",NA
"235",900,"FRAU",65,16,"NEUE BUNDESLAENDER","MITTELSCHICHT","4"
"236",1000,"FRAU",25,12,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","8"
"237",NA,"FRAU",35,NA,"ALTE BUNDESLAENDER","UNTERSCHICHT",NA
"238",3000,"FRAU",56,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"239",1500,"FRAU",30,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"240",900,"MANN",58,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"241",NA,"MANN",74,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"242",2000,"MANN",58,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"243",500,"FRAU",38,12,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","3"
"244",350,"MANN",57,8,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"245",NA,"FRAU",65,16,"NEUE BUNDESLAENDER","MITTELSCHICHT","2"
"246",1200,"FRAU",78,8,"NEUE BUNDESLAENDER","MITTELSCHICHT","1"
"247",1300,"MANN",34,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","8"
"248",2600,"FRAU",77,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"249",4300,"MANN",60,17,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"250",1100,"FRAU",49,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"251",2100,"MANN",31,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","7"
"252",1500,"FRAU",42,12,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"253",2000,"FRAU",84,8,"NEUE BUNDESLAENDER","MITTELSCHICHT","2"
"254",100,"MANN",40,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"255",1300,"FRAU",51,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"256",1200,"FRAU",48,12,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"257",NA,"FRAU",51,12,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"258",2259,"FRAU",39,16,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"259",NA,"FRAU",43,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"260",1100,"FRAU",48,10,"ALTE BUNDESLAENDER","MITTELSCHICHT",NA
"261",804,"MANN",65,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"262",3300,"MANN",72,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"263",668,"MANN",51,6,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"264",640,"MANN",56,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","1"
"265",1400,"MANN",28,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"266",2200,"FRAU",28,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"267",NA,"FRAU",58,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"268",2400,"MANN",49,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"269",5000,"FRAU",51,12,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"270",1900,"MANN",28,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"271",1100,"FRAU",44,13,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","7"
"272",1300,"FRAU",21,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"273",NA,"FRAU",75,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"274",NA,"FRAU",45,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"275",2000,"MANN",25,11,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"276",440,"MANN",18,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"277",650,"MANN",44,9,"ALTE BUNDESLAENDER","UNTERSCHICHT","5"
"278",1700,"MANN",28,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"279",1500,"FRAU",25,13,"ALTE BUNDESLAENDER","MITTELSCHICHT",NA
"280",NA,"FRAU",64,13,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"281",2000,"MANN",28,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"282",NA,"MANN",56,21,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"283",450,"FRAU",48,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"284",1700,"FRAU",40,17,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","2"
"285",944,"FRAU",42,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","2"
"286",820,"MANN",72,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","10"
"287",1100,"MANN",78,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"288",1500,"MANN",82,5,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"289",1100,"FRAU",53,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"290",1600,"MANN",25,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"291",1400,"FRAU",84,8,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"292",1800,"FRAU",53,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"293",1400,"FRAU",20,12,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","7"
"294",NA,"FRAU",51,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"295",4000,"MANN",40,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"296",450,"FRAU",18,8,"ALTE BUNDESLAENDER","MITTELSCHICHT",NA
"297",1800,"FRAU",76,8,"NEUE BUNDESLAENDER","MITTELSCHICHT","4"
"298",NA,"FRAU",63,12,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"299",3500,"MANN",58,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"300",NA,"FRAU",63,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"301",1000,"FRAU",55,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
